diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
32335-2015,J,C.A. No.-006471-006471 - 2021,ANANT RAJ LTD. ( FORMERLY ANANT RAJ INDUSTRIES LTD.),THE STATE OF HARYANA,VIKALP MUDGAL,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,27-10-2021,supremecourt/2015/32335/32335_2015_14_1502_30895_Judgement_27-Oct-2021.pdf
32350-2019,J,Crl.A. No.-000472-000472 - 2021,SANJAY KUMAR RAI,THE STATE OF UTTAR PRADESH,SHANTANU SAGAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT",HON'BLE MR. JUSTICE SURYA KANT,07-05-2021,supremecourt/2019/32350/32350_2019_31_1505_28001_Judgement_07-May-2021.pdf
32369-2009,J,C.A. No.-001870-001870 - 2011,E.S.I CORPORATION,KAKINANDA MUNICIPALITY AND ORS. COMMISSIONER,,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",HON'BLE MR. JUSTICE K.M. JOSEPH,28-09-2021,supremecourt/2009/32369/32369_2009_10_101_30405_Judgement_28-Sep-2021.pdf
32396-2019,J,T.P.(C) No.-002344 - 2019,AMRUTA BEN HIMANSHU KUMAR SHAH,HIMANSHU KUMAR PRAVINCHANDRA SHAH,DIKSHA RAI,TARUNA SINGH GOHIL,HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,29-01-2021,supremecourt/2019/32396/32396_2019_41_1501_25739_Judgement_29-Jan-2021.pdf
32451-2018,J,C.A. No.-001631-001636 - 2021,RAMACHNADRAPURA MATH,SRI SAMSTHANA MAHABALESHWARA DEVARU,ROOH-E-HINA DUA,,,HON'BLE THE CHIEF JUSTICE,19-04-2021,supremecourt/2018/32451/32451_2018_31_1501_27629_Judgement_19-Apr-2021.pdf
32454-2009,J,Crl.A. No.-001967-001967 - 2009,"DR. U.N. BORA, EX. CHIEF EXECUTIVE OFFICER",ASSAM ROLLER FLOUR MILLS ASSOCIATION,COAC,JAGJIT SINGH CHHABRA,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,26-10-2021,supremecourt/2009/32454/32454_2009_6_1501_30900_Judgement_26-Oct-2021.pdf
32588-2019,J,Crl.A. No.-001424-001424 - 2021,M/S NAG LEATHERS PVT. LTD.,M/S DYNAMIC MARKETING PARTNERSHIP REP. BY ITS PARTNERS,M.P. PARTHIBAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,18-11-2021,supremecourt/2019/32588/32588_2019_32_31_31408_Judgement_18-Nov-2021.pdf
32596-2018,J,C.A. No.-005748-005748 - 2021,THE STATE OF UTTAR PRADESH,KRISHNA BAHADUR SINGH,TANMAYA AGARWAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,17-09-2021,supremecourt/2018/32596/32596_2018_32_24_30117_Judgement_17-Sep-2021.pdf
32731-2006,J,Crl.A. No.-000989-000989 - 2007,DEVI LAL,THE STATE OF MADHYA PRADESH,PRATIBHA JAIN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,25-02-2021,supremecourt/2006/32731/32731_2006_34_1501_26599_Judgement_25-Feb-2021.pdf
32736-2019,J,T.P.(C) No.-002460 - 2019,MAMTA,KAILASH CHAND AGRAWAL,SANJEEV MALHOTRA,,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,22-11-2021,supremecourt/2019/32736/32736_2019_43_45_31441_Judgement_22-Nov-2021.pdf
32801-2018,J,C.A. No.-001158-001158 - 2021,VED,THE STATE OF HARYANA,DEVESH KUMAR TRIPATHI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,08-04-2021,supremecourt/2018/32801/32801_2018_34_1502_27491_Judgement_08-Apr-2021.pdf
32841-2012,J,C.A. No.-006778-006778 - 2013,JACOB PUNNEN,UNITED INDIA INSURANCE CO;LTD,PRIYA PURI,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE S. RAVINDRA BHAT,09-12-2021,supremecourt/2012/32841/32841_2012_10_1501_32101_Judgement_09-Dec-2021.pdf
32884-2019,J,C.A. No.-007537-007544 - 2021,THE DIRECTOR OF INDIAN SYSTEM OF MEDICINE,SUSMI C. T.,G. PRAKASH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,08-12-2021,supremecourt/2019/32884/32884_2019_2_1501_32062_Judgement_08-Dec-2021.pdf
32899-2019,J,W.P.(C) No.-001236 - 2019,LOK PRAHARI THROUGH ITS GENERAL SECRETARY S.N.SHUKLA I.A.S. (RETD),UNION OF INDIA,PETITIONER-IN-PERSON,,,HON'BLE THE CHIEF JUSTICE,20-04-2021,supremecourt/2019/32899/32899_2019_31_1501_27748_Judgement_20-Apr-2021.pdf
32972-2016,J,C.A. No.-005712-005713 - 2021,SHANKARRAO BHAGWANTRAO PATIL,THE STATE OF MAHARASHTRA,ATUL BABASAHEB DAKH,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,20-09-2021,supremecourt/2016/32972/32972_2016_41_1501_30170_Judgement_20-Sep-2021.pdf
32978-2018,J,R.P.(Crl.) No.-000671 - 2018,RAJENDRA KHARE,SWAATI NIRKHI,,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE M.R. SHAH",,28-01-2021,supremecourt/2018/32978/32978_2018_37_15_25716_Order_28-Jan-2021.pdf
33284-2019,J,C.A. No.-000429-000430 - 2021,ANMOL KUMAR TIWARI,THE STATE OF JHARKHAND,AMIT PAWAN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,18-02-2021,supremecourt/2019/33284/33284_2019_38_1502_26259_Judgement_18-Feb-2021.pdf
33806-2018,J,C.A. No.-005065-005095 - 2021,HARYANA STAFF SELECTION COMMISSION,PRIYANKA,MONIKA GUSAIN,,"HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE DINESH MAHESHWARI",,01-09-2021,supremecourt/2018/33806/33806_2018_39_11_29684_Order_01-Sep-2021.pdf
33825-2008,J,C.A. No.-001376-001377 - 2010,V.PRABHAKARA,BASAVARAJ K. (DEAD) BY LR.,NULI & NULI,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,07-10-2021,supremecourt/2008/33825/33825_2008_6_1501_30669_Judgement_07-Oct-2021.pdf
33865-2008,J,C.A. No.-006209-006209 - 2010,BAJRANGA (DEAD) BY LRS.,THE STATE OF MADHYA PRADESH,PRATIBHA JAIN,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE DINESH MAHESHWARI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,19-01-2021,supremecourt/2008/33865/33865_2008_38_1501_25477_Judgement_19-Jan-2021.pdf
33958-2009,J,C.A. No.-009546-009546 - 2010,ASHA JOHN DIVIANATHAN,VIKRAM MALHOTRA .,S. NARAIN & CO.,E. C. VIDYA SAGAR,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,26-02-2021,supremecourt/2009/33958/33958_2009_35_1501_26504_Judgement_26-Feb-2021.pdf
33965-2009,J,C.A. No.-009355-009356 - 2010,AMBIKA MURALI,TMT. VALLIAMMAL AND ANR. ETC.,K. K. MANI,DEBASIS MISRA,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,07-10-2021,supremecourt/2009/33965/33965_2009_14_104_30620_Judgement_07-Oct-2021.pdf
33969-2010,J,C.A. No.-002826-002827 - 2016,WELSPUN SPECIALTY SOLUTIONS LIMITED THROUGH ITS AUTHORISED REPRESENTATIVE,OIL AND NATURAL GAS CORPORATION LTD. THROUGH ITS COMPANY SECRETARY,SHIV KUMAR SURI,K. R. SASIPRABHU,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE THE CHIEF JUSTICE,13-11-2021,supremecourt/2010/33969/33969_2010_31_1501_31091_Judgement_13-Nov-2021.pdf
34089-2017,J,C.A. No.-007764-007764 - 2021,SUNNY ABRAHAM,UNION OF INDIA,ADITYA RANJAN,,"HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE VINEET SARAN,17-12-2021,supremecourt/2017/34089/34089_2017_39_1501_32212_Judgement_17-Dec-2021.pdf
34180-2017,J,C.A. No.-004850-004850 - 2021,THE STATE OF MADHYA PRADESH,PUJARI UTTHAN AVAM KALYAN SAMITI,SUNNY CHOUDHARY,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,06-09-2021,supremecourt/2017/34180/34180_2017_41_1501_29828_Judgement_06-Sep-2021.pdf
34430-2018,J,C.A. No.-010355 - 2018,P. MOHANRAJ,M/S. SHAH BROTHERS ISPAT PVT. LTD.,MALAVIKA JAYANTH,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,01-03-2021,supremecourt/2018/34430/34430_2018_33_1501_26551_Judgement_01-Mar-2021.pdf
34444-2016,J,C.A. No.-004479-004479 - 2021,RAMDAS WAYDHAN GADLINGE (SINCE DECEASED) THR LRS. VATSALABAI RAMDAS GADLINGE .,GYANCHAND NANURAM KRIPLANI (DEAD) THR LRS. DHRUPADABAI .,SHASHI KIRAN,,"HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE VINEET SARAN,28-07-2021,supremecourt/2016/34444/34444_2016_41_7_28881_Order_28-Jul-2021.pdf
34445-2008,J,C.A. No.-008592-008593 - 2010,INCOME TAX OFFICER AND ANR.,V.MOHAN AND ANR.,B. V. BALARAM DAS,M. P. VINOD,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE C.T. RAVIKUMAR",HON'BLE MR. JUSTICE A.M. KHANWILKAR,14-12-2021,supremecourt/2008/34445/34445_2008_3_1501_32235_Judgement_14-Dec-2021.pdf
34493-2016,J,C.A. No.-006119-006119 - 2021,ANAPURNA JAISWAL,INDIAN OIL CORPORATION LTD. AND ORS.,ROHIT KUMAR SINGH,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",HON'BLE MR. JUSTICE K.M. JOSEPH,30-09-2021,supremecourt/2016/34493/34493_2016_40_4_30482_Judgement_30-Sep-2021.pdf
34494-2016,J,C.A. No.-006723-006723 - 2021,UNION OF INDIA,EX. CONSTABLE RAM KARAN,B. V. BALARAM DAS,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,11-11-2021,supremecourt/2016/34494/34494_2016_14_1501_31099_Judgement_11-Nov-2021.pdf
34522-2010,J,C.A. No.-005110-005110 - 2021,SUGHAR SINGH,HARI SINGH (DEAD) THROUGH LRS.,PRADEEP KUMAR DUBEY,PRAVEEN SWARUP,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,26-10-2021,supremecourt/2010/34522/34522_2010_13_1501_30924_Judgement_26-Oct-2021.pdf
34527-2014,J,C.A. No.-000946-000946 - 2016,M/S. CHITRALEKHA BUILDERS & ANR. THROUGH ANIL G. SHAH POWER OF ATTORNEY & HUSBAND OF THE PARTNER,G.I.C. EMPLOYEES SONAL VIHAR CO-OP. HOUSING SOCIETY LTD.,PETITIONER-IN-PERSON,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,01-03-2021,supremecourt/2014/34527/34527_2014_43_1501_26559_Judgement_01-Mar-2021.pdf
34542-2015,J,C.A. No.-006981-006981 - 2021,"SHRI SHIVAJI EDUCATION SOCIETY, AMRAVATI",OMPRAKASH,ANAGHA S. DESAI,CHANDER SHEKHAR ASHRI,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,22-11-2021,supremecourt/2015/34542/34542_2015_41_16_31437_Order_22-Nov-2021.pdf
34564-2016,J,C.A. No.-004742-004743 - 2021,M.M. AQUA  TECHNOLOGIES LTD.,"COMMISSIONER OF INCOME TAX, DELHI - III",SAHIL TAGOTRA,ANIL KATIYAR,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,11-08-2021,supremecourt/2016/34564/34564_2016_32_1501_29166_Judgement_11-Aug-2021.pdf
34691-2009,J,C.A. No.-006490-006490 - 2014,STATE OF ORISSA .,SAKHI BEWA (D) THR.LRS..,SIBO SANKAR MISHRA,PRAVEENA GAUTAM,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE M.R. SHAH,23-11-2021,supremecourt/2009/34691/34691_2009_13_1501_31471_Judgement_23-Nov-2021.pdf
34790-2019,J,C.A. No.-007446-007446 - 2021,SATISH CHAND SURANA,RAJ KUMAR MESHRAM,MANJU JETLEY,,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE S. ABDUL NAZEER,06-12-2021,supremecourt/2019/34790/34790_2019_37_36_31832_Order_06-Dec-2021.pdf
34878-2019,J,C.A. No.-002691-002691 - 2021,SACHIN KASHYAP,SUSHIL CHANDRA SRIVASTAVA,ANKUR YADAV,,"HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE VINEET SARAN,15-07-2021,supremecourt/2019/34878/34878_2019_41_4_28433_Judgement_15-Jul-2021.pdf
34971-2018,J,C.A. No.-001330-001332 - 2021,M/S ACQUAINTED REALTORS LLP,THE STATE OF HARYANA,SIDDHARTH MITTAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,08-04-2021,supremecourt/2018/34971/34971_2018_34_1503_27491_Judgement_08-Apr-2021.pdf
35036-2019,J,T.P.(C) No.-002419 - 2019,M/S PLR PROJECTS PVT. LTD.,MAHANADI COALFIELDS LIMITED,KAUSHIK PODDAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE SURYA KANT",HON'BLE THE CHIEF JUSTICE,20-04-2021,supremecourt/2019/35036/35036_2019_31_1502_27748_Judgement_20-Apr-2021.pdf
35046-2019,J,Crl.A. No.-001285-001285 - 2021,MITESH KUMAR J SHA,THE STATE OF KARNATAKA,SHAILESH MADIYAL,,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE KRISHNA MURARI,26-10-2021,supremecourt/2019/35046/35046_2019_7_1501_30903_Judgement_26-Oct-2021.pdf
35082-2016,J,C.A. No.-010788-010788 - 2016,RASHI MANI MISHRA,THE STATE OF U.P. RURAL ENGINEERING DEPARTMENT THROUGH PRINCIPAL SECRETARY,ANIL KUMAR SANGAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,28-07-2021,supremecourt/2016/35082/35082_2016_5_1502_28812_Judgement_28-Jul-2021.pdf
35120-2017,J,C.A. No.-000913-000914 - 2021,UNION OF INDIA,MANOJ KUMAR,AMRISH KUMAR,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HRISHIKESH ROY, HON'BLE MR. JUSTICE C.T. RAVIKUMAR",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,31-08-2021,supremecourt/2017/35120/35120_2017_36_1501_29604_Judgement_31-Aug-2021.pdf
35124-2009,J,C.A. No.-000494-000495 - 2016,RAKESH BHUSHAN PRASAD ALIAS RAKESH PRASAD,RADHA DEVI(D) BY LRS.,UJJAL BANERJEE,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE A.M. KHANWILKAR,07-09-2021,supremecourt/2009/35124/35124_2009_12_1501_29818_Judgement_07-Sep-2021.pdf
35231-2019,J,C.A. No.-006223-006223 - 2021,ESTATE OFFICER,COLONEL H.V. MANKOTIA (RETIRED),ARVIND KUMAR SHARMA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,07-10-2021,supremecourt/2019/35231/35231_2019_43_1505_30660_Judgement_07-Oct-2021.pdf
35402-2019,J,C.A. No.-006903-006903 - 2021,THE STATE OF MADHYA PRADESH,ASHISH AWASTHI,SUNNY CHOUDHARY,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE M.R. SHAH,18-11-2021,supremecourt/2019/35402/35402_2019_43_1501_31402_Judgement_18-Nov-2021.pdf
35488-2018,J,SLP(C) No.-027879 - 2018,BIHARI (DEAD) THRU LR,THE STATE OF UTTAR PRADESH,DR. RAJEEV SHARMA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,23-09-2021,supremecourt/2018/35488/35488_2018_13_1501_30224_Judgement_23-Sep-2021.pdf
35509-2018,J,SLP(C) No.-026484 - 2018,ANKITA MEENA,UNIVERSITY OF DELHI,ASHISH VIRMANI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,22-01-2021,supremecourt/2018/35509/35509_2018_31_1503_25555_Judgement_22-Jan-2021.pdf
35718-2019,J,T.P.(C) No.-002498 - 2019,M/S. HIMALAYA DISTILLERIES LIMITED,URMILA PRADHAN,BIRENDRA KUMAR MISHRA,,HON'BLE MR. JUSTICE ABHAY S. OKA,HON'BLE MR. JUSTICE ABHAY S. OKA,01-10-2021,supremecourt/2019/35718/35718_2019_44_59_30531_Judgement_01-Oct-2021.pdf
35882-2016,J,Crl.A. No.-001519-001519 - 2021,VINOD KUMAR,AMRITPAL @ CHHOTU,MANISH K. BISHNOI,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,30-11-2021,supremecourt/2016/35882/35882_2016_14_1501_31691_Judgement_30-Nov-2021.pdf
35982-2018,J,Crl.A. No.-001167-001167 - 2021,MANOJ MISHRA @ CHHOTKAU,THE STATE OF UTTAR PRADESH,ANOOP PRAKASH AWASTHI,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,08-10-2021,supremecourt/2018/35982/35982_2018_43_1501_30702_Judgement_08-Oct-2021.pdf
35991-2008,J,C.A. No.-008548-008548 - 2009,P. ISHWARI BAI,ANJANI BAI,ANU GUPTA,GUNTUR PRABHAKAR,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE L. NAGESWARA RAO,01-09-2021,supremecourt/2008/35991/35991_2008_35_1501_29713_Judgement_01-Sep-2021.pdf
36008-2017,J,C.A. No.-001570-001578 - 2021,M/S. SILPI INDUSTRIES,KERALA STATE ROAD TRANSPORT CORPORATION,JOHN MATHEW,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,29-06-2021,supremecourt/2017/36008/36008_2017_35_1501_28105_Judgement_29-Jun-2021.pdf
36067-2019,J,C.A. No.-006292-006292 - 2021,VALSAN P.,THE STATE OF KERALA,BIJU P RAMAN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,21-10-2021,supremecourt/2019/36067/36067_2019_13_1501_30785_Judgement_21-Oct-2021.pdf
36098-2018,J,Crl.A. No.-000267-000267 - 2021,V. N. PATIL,K. NIRANJAN KUMAR,RAJESH MAHALE,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MR. JUSTICE AJAY RASTOGI,04-03-2021,supremecourt/2018/36098/36098_2018_39_1502_26760_Judgement_04-Mar-2021.pdf
36499-2019,J,Crl.A. No.-001209-001209 - 2021,PREM SHANKAR PRASAD,THE STATE OF BIHAR,RITURAJ BISWAS,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,21-10-2021,supremecourt/2019/36499/36499_2019_13_1502_30801_Judgement_21-Oct-2021.pdf
36522-2019,J,Crl.A. No.-001596-001597 - 2021,JASBIR SINGH @ JASSA,THE STATE OF PUNJAB,RAJAT MITTAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,09-12-2021,supremecourt/2019/36522/36522_2019_2_10_31940_Judgement_09-Dec-2021.pdf
36537-2018,J,Crl.A. No.-000121 - 2019,NETAJI ACHYUT SHINDE(PATIL),THE STATE OF MAHARASHTRA,S.M. JADHAV AND COMPANY,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE S. RAVINDRA BHAT,23-03-2021,supremecourt/2018/36537/36537_2018_37_1502_27213_Judgement_23-Mar-2021.pdf
36602-2017,J,C.A. No.-002593-002593 - 2018,K.V. MOHAMMED ZAKIR,COMMISSIONER OF INCOME TAX THRISSUR,SIDDHARTHA JHA,,HON'BLE MS. JUSTICE HIMA KOHLI,HON'BLE MS. JUSTICE HIMA KOHLI,24-09-2021,supremecourt/2017/36602/36602_2017_35_27_30338_Judgement_24-Sep-2021.pdf
36660-2011,J,Crl.A. No.-001348-001348 - 2013,SHIVAJI CHINTAPPA PATIL,THE STATE OF MAHARASHTRA,S. MAHENDRAN,SACHIN PATIL,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE B.R. GAVAI,02-03-2021,supremecourt/2011/36660/36660_2011_33_1502_26629_Judgement_02-Mar-2021.pdf
36854-2014,J,Crl.A. No.-001613-001613 - 2018,SANDEEP,THE STATE OF HARYANA,V. MAHESHWARI & CO.,MONIKA GUSAIN,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE THE CHIEF JUSTICE,27-08-2021,supremecourt/2014/36854/36854_2014_32_1501_29576_Judgement_27-Aug-2021.pdf
36872-2018,J,C.A. No.-005760-005764 - 2021,CHAIRMAN FOOD CORPORATION OF INDIA,MANOJ KUMAR SRIVASTAVA,AJIT PUDUSSERY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,17-09-2021,supremecourt/2018/36872/36872_2018_32_25_30117_Judgement_17-Sep-2021.pdf
36908-2019,J,T.P.(C) No.-002556 - 2019,NAVNEET KAUR,PRABHJEET SINGH CHANNA,ANOOP KR. SRIVASTAV,,HON'BLE MR. JUSTICE C.T. RAVIKUMAR,HON'BLE MR. JUSTICE C.T. RAVIKUMAR,15-11-2021,supremecourt/2019/36908/36908_2019_45_48_31216_Judgement_15-Nov-2021.pdf
37101-2016,J,C.A. No.-005611-005612 - 2021,BHUPENDRA RAMDHAN PAWAR,VIDARBHA IRRIGATION DEVELOPMENT CORPORATION AND ORS ETC.,GAURAV AGRAWAL,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,09-09-2021,supremecourt/2016/37101/37101_2016_44_1501_29912_Judgement_09-Sep-2021.pdf
37150-2019,J,C.A. No.-007109-007109 - 2021,HASMAT ALI,AMINA BIBI,JAGJIT SINGH CHHABRA,,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE S. ABDUL NAZEER,29-11-2021,supremecourt/2019/37150/37150_2019_37_1501_31626_Judgement_29-Nov-2021.pdf
37152-2008,J,C.A. No.-003657-003657 - 2010,DEBABRATA SAHA,SERAMPORE MUNICIPALITY AND OTHERS,S. K. BHATTACHARYA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE L. NAGESWARA RAO,01-09-2021,supremecourt/2008/37152/37152_2008_35_1502_29713_Judgement_01-Sep-2021.pdf
