diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
18114-2020,J,C.A. No.-001318-001322 - 2021,PUNEET SHARMA,HIMACHAL PRADESH STATE ELECTRICITY BOARD LTD.,KAVEETA WADIA,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE S. RAVINDRA BHAT,07-04-2021,supremecourt/2020/18114/18114_2020_37_1501_27366_Judgement_07-Apr-2021.pdf
18171-2006,J,C.A. No.-005881-005881 - 2010,STATE OF TAMIL NADU,M.S. VISWANATHAN,,E. C. AGRAWALA,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,20-09-2021,supremecourt/2006/18171/18171_2006_41_1502_30170_Judgement_20-Sep-2021.pdf
18187-2014,J,C.A. No.-006238-006238 - 2021,UNION OF INDIA,METHU MEDA,B. V. BALARAM DAS,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE J.K. MAHESHWARI",HON'BLE MS. JUSTICE INDIRA BANERJEE,06-10-2021,supremecourt/2014/18187/18187_2014_8_1501_30676_Judgement_06-Oct-2021.pdf
18187-2017,J,SLP(C) No.-020417 - 2017,M/S DAIICHI SANKYO COMPANY LIMITED,OSCAR INVESTMENTS LIMITED,KUNAL CHATTERJI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,18-02-2021,supremecourt/2017/18187/18187_2017_34_6_26284_Judgement_18-Feb-2021.pdf
18226-2020,J,Crl.A. No.-000721-000721 - 2021,THE STATE OF HARYANA,RAJ KUMAR @ BITTU,MONIKA GUSAIN,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE HEMANT GUPTA,03-08-2021,supremecourt/2020/18226/18226_2020_43_1501_28987_Judgement_03-Aug-2021.pdf
18254-2020,J,Crl.A. No.-000749-000749 - 2021,M/S CHEMINOVA INDIA LTD.,THE STATE OF PUNJAB,JAIKRITI S. JADEJA,,"HON'BLE MR. JUSTICE NAVIN SINHA, HON'BLE MR. JUSTICE R. SUBHASH REDDY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,04-08-2021,supremecourt/2020/18254/18254_2020_39_1501_29045_Judgement_04-Aug-2021.pdf
18274-2009,J,C.A. No.-002153-002153 - 2012,STATE OF M.P.,GHISILAL,,PRAGATI NEEKHRA,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,22-11-2021,supremecourt/2009/18274/18274_2009_42_1501_31438_Judgement_22-Nov-2021.pdf
18378-2019,J,C.A. No.-006947-006947 - 2021,UTTAR PRADESH FOREST CORPORATION LUCKNOW,VIJAY KUMAR YADAV,M. R. SHAMSHAD,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE M.R. SHAH,23-11-2021,supremecourt/2019/18378/18378_2019_13_1504_31471_Judgement_23-Nov-2021.pdf
18430-2010,J,Crl.A. No.-001489-001489 - 2012,RAMGOPAL,THE STATE OF MADHYA PRADESH,,C. D. SINGH,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE MR. JUSTICE SURYA KANT,29-09-2021,supremecourt/2010/18430/18430_2010_1_1501_30399_Judgement_29-Sep-2021.pdf
18447-2020,J,- 0,VEDANTA LTD. (FORMERLY KNOWN AS M/S SESA STERLITE LTD.),THE GOA FOUNDATION AND ORS.,B. VIJAYALAKSHMI MENON,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,09-07-2021,supremecourt/2020/18447/18447_2020_5_1001_28361_Judgement_09-Jul-2021.pdf
18483-2018,J,C.A. No.-005733-005733 - 2021,RAJASTHAN HIGH COURT JODHPUR,AKASHDEEP MORYA,MUKUL KUMAR,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",HON'BLE MR. JUSTICE K.M. JOSEPH,16-09-2021,supremecourt/2018/18483/18483_2018_40_3_30066_Judgement_16-Sep-2021.pdf
18529-2019,J,C.A. No.-000865-000865 - 2021,THE STATE OF UTTAR PRADESH,PRINCIPAL ABHAY NANDAN INTER COLLEGE,HARISH PANDEY,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,27-09-2021,supremecourt/2019/18529/18529_2019_36_1502_30326_Judgement_27-Sep-2021.pdf
18551-2020,J,C.A. No.-007752-007752 - 2021,THE SECRETARY TO GOVT. DEPARTMENT OF EDUCATION (PRIMARY),BHEEMESH ALIAS BHEEMAPPA,V. N. RAGHUPATHY,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,16-12-2021,supremecourt/2020/18551/18551_2020_11_1504_32133_Judgement_16-Dec-2021.pdf
18552-2021,J,Crl.A. No.-001663-001663 - 2021,BRIJMANI DEVI,PAPPU KUMAR,SMARHAR SINGH,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MRS. JUSTICE B.V. NAGARATHNA,17-12-2021,supremecourt/2021/18552/18552_2021_43_1502_32216_Judgement_17-Dec-2021.pdf
18562-2020,J,Crl.A. No.-000102-000102 - 2021,OPTO CIRCUIT INDIA LTD.,AXIS BANK,MAHESH THAKUR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE A.S. BOPANNA,03-02-2021,supremecourt/2020/18562/18562_2020_31_1501_25891_Judgement_03-Feb-2021.pdf
18599-2020,J,C.A. No.-003325 - 2020,E.S. KRISHNAMURTHY,M/S BHARATH HI TECH BUILDERS PVT. LTD.,HIMANSHU CHAUBEY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE VIKRAM NATH",HON'BLE THE CHIEF JUSTICE,14-12-2021,supremecourt/2020/18599/18599_2020_4_1502_32125_Judgement_14-Dec-2021.pdf
18627-2020,J,W.P.(C) No.-001039 - 2020,DIPIKA JAGATRAM SAHANI,UNION OF INDIA,SATYA MITRA,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE ASHOK BHUSHAN,13-01-2021,supremecourt/2020/18627/18627_2020_37_1501_25393_Judgement_13-Jan-2021.pdf
18647-2018,J,C.A. No.-004823-004823 - 2021,MULTITASK SOLUTIONS,ZILA PARISHAD WASHIM,,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,17-08-2021,supremecourt/2018/18647/18647_2018_42_1503_29369_Judgement_17-Aug-2021.pdf
18693-2020,J,C.A. No.-000542-000542 - 2021,NATIONAL HIGHWAY AUTHORITY OF INDIA,M/S PROGRESSIVE CONSTRUCTION LTD,NARESH KUMAR,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,12-02-2021,supremecourt/2020/18693/18693_2020_43_25_26142_Judgement_12-Feb-2021.pdf
18847-2020,J,Crl.A. No.-000599-000599 - 2021,NOORULLA KHAN,KARNATAKA STATE POLLUTION CONTROL BOARD,SHAILESH MADIYAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE AJAY RASTOGI",,13-07-2021,supremecourt/2020/18847/18847_2020_33_20_28410_Order_13-Jul-2021.pdf
18913-2021,J,C.A. No.-007037-007037 - 2021,BEEREDDY DASARATHARAMI REDDY,V. MANJUNATH,RAJESH MAHALE,,"HON'BLE MR. JUSTICE SANJIV KHANNA, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE MR. JUSTICE SANJIV KHANNA,13-12-2021,supremecourt/2021/18913/18913_2021_46_1502_32097_Judgement_13-Dec-2021.pdf
18953-2019,J,C.A. No.-001579-001579 - 2021,UNION OF INDIA,RK SHARMA,ANIL KATIYAR,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE VINEET SARAN",HON'BLE MR. JUSTICE L. NAGESWARA RAO,28-04-2021,supremecourt/2019/18953/18953_2019_37_1502_27802_Judgement_28-Apr-2021.pdf
18972-2018,J,C.A. No.-006019-006019 - 2021,CHIEF GENERAL MANAGER TELECOMMUNICATION BSNL,VIDYA PRASAD,PAVAN KUMAR,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,28-09-2021,supremecourt/2018/18972/18972_2018_44_13_30436_Judgement_28-Sep-2021.pdf
18986-2020,J,C.A. No.-003136 - 2020,SRIDEVI DATLA,UNION OF INDIA,SRISHTI AGNIHOTRI,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,02-03-2021,supremecourt/2020/18986/18986_2020_38_1501_26623_Order_02-Mar-2021.pdf
